class,timestamp,Difficulty,Performance,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
0,19:03:35.565,1,1,11217.87,-17639.48,-9185.23,-11295.23,-9800.52,-15003.03,141057.11,147291.83
0,19:03:35.565,1,1,11241.68,-17656.02,-9126.95,-11237.74,-9727.01,-14940.87,141021.23,147223.78
0,19:03:35.565,1,1,11394.38,-17650.5,-9059.72,-11271.58,-9704.84,-14970.13,141033.94,147245.28
0,19:03:35.566,1,1,11455.54,-17632.06,-9088.26,-11352.18,-9764.09,-15050.61,141078.8,147326.05
0,19:03:35.566,1,1,11344.07,-17627.23,-9173.36,-11375.74,-9825.78,-15077.59,141097.08,147357.14
0,19:03:35.566,1,1,11206.78,-17643.73,-9209.59,-11313.89,-9812.33,-15026.09,141066.73,147298.5
0,19:03:35.566,1,1,11229.56,-17659.08,-9151.7,-11247.02,-9741.38,-14967.15,141029.2,147228.61
0,19:03:35.566,1,1,11389.24,-17654.44,-9082.88,-11270.78,-9715.5,-14991.47,141042.09,147250.0
0,19:03:35.566,1,1,11463.07,-17637.4,-9104.25,-11346.26,-9774.91,-15069.3,141088.44,147332.38
0,19:03:35.566,1,1,11353.77,-17631.48,-9187.44,-11369.1,-9836.91,-15094.96,141106.25,147363.3
0,19:03:35.567,1,1,11207.99,-17646.43,-9224.21,-11312.35,-9825.98,-15041.94,141074.91,147303.91
0,19:03:35.567,1,1,11223.55,-17662.86,-9164.26,-11250.12,-9753.94,-14976.99,141038.11,147234.73
0,19:03:35.567,1,1,11384.44,-17657.07,-9088.84,-11274.76,-9721.6,-14992.63,141049.3,147254.09
0,19:03:35.567,1,1,11454.6,-17639.41,-9103.66,-11349.19,-9773.95,-15059.13,141095.19,147335.77
0,19:03:35.567,1,1,11345.05,-17635.57,-9178.01,-11369.3,-9831.55,-15076.94,141115.47,147369.77
0,19:03:35.567,1,1,11207.39,-17651.44,-9207.49,-11306.41,-9813.33,-15015.23,141085.41,147312.14
0,19:03:35.567,1,1,11229.23,-17667.36,-9140.25,-11236.94,-9734.39,-14943.04,141047.95,147241.98
0,19:03:35.567,1,1,11391.54,-17661.39,-9062.09,-11254.71,-9699.18,-14956.49,141058.28,147259.97
0,19:03:35.567,1,1,11466.11,-17643.55,-9080.93,-11330.14,-9755.91,-15031.12,141103.77,147341.53
0,19:03:35.568,1,1,11356.79,-17638.63,-9160.68,-11351.22,-9819.48,-15057.43,141123.72,147375.58
0,19:03:35.570,1,1,11215.17,-17653.94,-9191.6,-11288.06,-9805.08,-14999.56,141093.95,147318.02
0,19:03:35.570,1,1,11230.95,-17668.49,-9130.71,-11227.66,-9734.74,-14936.98,141054.72,147245.78
0,19:03:35.570,1,1,11387.23,-17663.13,-9059.9,-11253.25,-9707.23,-14958.55,141064.84,147263.03
0,19:03:35.571,1,1,11465.44,-17646.46,-9076.24,-11330.7,-9760.69,-15032.87,141111.5,147345.44
0,19:03:35.571,1,1,11357.52,-17641.09,-9157.84,-11358.31,-9823.28,-15061.19,141131.55,147379.75
0,19:03:35.571,1,1,11210.03,-17657.68,-9200.33,-11305.24,-9814.94,-15008.57,141102.95,147323.92
0,19:03:35.571,1,1,11232.47,-17672.79,-9148.43,-11242.03,-9746.46,-14944.62,141063.95,147251.67
0,19:03:35.571,1,1,11396.06,-17666.62,-9080.26,-11265.73,-9717.0,-14964.16,141072.63,147267.34
0,19:03:35.571,1,1,11472.68,-17648.24,-9097.36,-11343.62,-9772.88,-15043.53,141117.56,147348.03
